TrialID,ID,Mass_kg,LapNum,T_Start_s,T_End_s,Seg_Dur_s,Breaths_In_Seg,First_Breath_In_Station_s,Lap_Time_s,Station_Time_s,CO2_ml_per_kg_min,O2_ml_per_kg_min,ODBA_g
Trial17_50,6JK5,209,9,550.6175,594.2125,43.595,4,575.2375,24.62,18.975,9.735544274,11.9560702,0.490898867
Trial17_62,6JK5,209,1,81.175,133.5625,52.3875,4,105.5725,24.3975,27.99,4.286971741,4.292999695,0.42417118
Trial17_62,6JK5,209,2,133.5625,176.715,43.1525,4,161.1725,27.61,15.5425,4.902386634,5.52973778,0.392950677
Trial17_62,6JK5,209,3,176.715,223.0425,46.3275,4,204.91,28.195,18.1325,6.062929853,7.864953567,0.402404221
Trial17_62,6JK5,209,4,223.0425,270.9475,47.905,4,255.325,32.2825,15.6225,5.230447621,7.531652808,0.320595698
Trial17_62,6JK5,209,5,270.9475,326.54,55.5925,4,301.4575,30.51,25.0825,6.029521469,7.568402419,0.342734311
Trial17_62,6JK5,209,6,326.54,381.775,55.235,4,355.425,28.885,26.35,4.507751352,7.300862821,0.344563223
Trial17_62,6JK5,209,7,381.775,436.5925,54.8175,4,412.75,30.975,23.8425,5.884336084,8.21638918,0.348667383
Trial17_62,6JK5,209,8,436.5925,483.22,46.6275,4,464.6625,28.07,18.5575,4.659549791,6.657467216,0.365849664
Trial17_62,6JK5,209,9,483.22,530.36,47.14,4,509.6975,26.4775,20.6625,7.848757544,10.934547,0.415787394
Trial17_70,6JK5,209,1,117.5175,183.4725,65.955,4,146.1875,28.67,37.285,3.30978168,3.560931605,0.36809226
Trial17_70,6JK5,209,2,183.4725,230.87,47.3975,4,209.12,25.6475,21.75,4.210748402,5.590507444,0.412112238
Trial17_70,6JK5,209,3,230.87,282.3025,51.4325,5,256.105,25.235,26.1975,2.909187659,4.113162674,0.399024575
Trial17_70,6JK5,209,4,282.3025,328.81,46.5075,4,307.6325,25.33,21.1775,5.765392061,7.780192884,0.395495804
Trial17_70,6JK5,209,5,328.81,380.825,52.015,5,354.0925,25.2825,26.7325,2.283846167,3.353467692,0.424354769
Trial17_70,6JK5,209,6,380.825,423.6375,42.8125,4,406.0075,25.1825,17.63,4.249306744,7.113246953,0.417005797
Trial17_70,6JK5,209,7,423.6375,463.025,39.3875,4,448.5925,24.955,14.4325,5.209920448,8.287184595,0.422822325
Trial17_70,6JK5,209,8,463.025,505.755,42.73,4,489.7375,26.7125,16.0175,7.055092788,9.791536263,0.389902254
Trial17_70,6JK5,209,9,505.755,544.945,39.19,4,529.185,23.43,15.76,7.203038564,10.42400476,0.450173077
Trial18_05,6JK5,210,1,160.9325,203.5,42.5675,3,189.495,28.5625,14.005,2.177382141,2.09079697,0.351935464
Trial18_05,6JK5,210,2,203.5,247.6925,44.1925,3,231.5275,28.0275,16.165,3.471823758,3.420748511,0.371446808
Trial18_05,6JK5,210,3,247.6925,287.61,39.9175,2,275.245,27.5525,12.365,3.527275005,4.013277385,0.392258428
Trial18_05,6JK5,210,4,287.61,327.98,40.37,2,315.1325,27.5225,12.8475,4.009342156,5.020701369,0.393794967
Trial18_05,6JK5,210,5,327.98,366.19,38.21,3,355.195,27.215,10.995,3.877070326,5.241709351,0.390446294
Trial18_05,6JK5,210,6,366.19,403.7975,37.6075,2,393.6025,27.4125,10.195,4.281060959,5.440404175,0.372236977
Trial18_05,6JK5,210,7,403.7975,440.36,36.5625,2,429.6025,25.805,10.7575,4.612063492,5.674041514,0.468862725
Trial18_05,6JK5,210,8,440.36,473.795,33.435,2,465.6875,25.3275,8.1075,4.342754598,6.794419877,0.479758635
Trial17_11,83H1,142,1,142.35,198.605,56.255,4,166.2175,23.8675,32.3875,8.731618222,10.25561421,0.496165098
Trial17_11,83H1,142,2,198.605,245.8125,47.2075,4,222.6375,24.0325,23.175,6.166959923,7.813869394,0.517246432
Trial17_11,83H1,142,3,245.8125,286.9325,41.12,3,269.8075,23.995,17.125,7.910204417,10.47809229,0.513518826
Trial17_11,83H1,142,4,286.9325,336.34,49.4075,4,307.8875,20.955,28.4525,10.00247297,12.48855273,0.575557131
