proportion_clicking,session,day,trial_number,treatment,animal,EFD
47.529,2,1,4,2,2,128.4837106
59.111,2,1,5,2,2,127.0453616
40.824,2,1,6,2,2,121.515672
52.043,2,1,7,2,2,123.2221831
47.894,2,1,8,2,2,125.9077311
43.201,2,1,9,2,2,128.5382802
43.661,2,1,10,2,2,124.6377347
71.598,3,1,1,4,2,140.1372071
48.296,3,1,2,4,2,141.9396869
43.792,3,1,3,4,2,144.2475551
61.123,3,1,4,4,2,132.7123642
48.004,3,1,5,4,2,139.3661261
34.865,3,1,6,4,2,142.2198388
76.849,3,1,7,4,2,133.6524493
48.669,3,1,8,4,2,140.2180054
52.353,3,1,9,4,2,130.9982901
43.255,3,1,10,4,2,136.3107906
45.912,4,2,1,1,2,123.6099113
67.52,4,2,2,1,2,114.931065
63.907,4,2,3,1,2,116.8836441
70.223,4,2,4,1,2,116.3864177
56.32,4,2,5,1,2,127.6839281
36.333,4,2,6,1,2,118.0478929
63.766,4,2,7,1,2,119.5266909
44.955,4,2,8,1,2,118.2451083
45.412,4,2,9,1,2,123.0762996
60.329,4,2,10,1,2,123.1093932
72.303,5,2,1,1,2,118.7697017
53.719,5,2,2,1,2,119.403009
47.121,5,2,3,1,2,123.8218694
54.581,5,2,4,1,2,122.0932893
49.697,5,2,5,1,2,92.81784394
42.009,5,2,6,1,2,113.1749461
54.263,5,2,7,1,2,123.2273182
54.182,5,2,8,1,2,115.5003775
51.501,5,2,9,1,2,124.1909729
68.983,5,2,10,1,2,119.9713164
76.041,6,2,1,3,2,135.796651
53.737,6,2,2,3,2,130.2050264
49.62,6,2,3,3,2,131.8082243
63.818,6,2,4,3,2,126.6403902
69.367,6,2,5,3,2,140.8878443
76.761,6,2,6,3,2,123.3544343
50.862,6,2,7,3,2,135.8182171
71.798,6,2,8,3,2,120.4562858
33.576,6,2,9,3,2,134.1944691
53.756,6,2,10,3,2,129.8136801
67.312,7,3,1,2,2,116.8120399
59.529,7,3,2,2,2,131.5188135
56.784,7,3,3,2,2,117.576028
46.347,7,3,4,2,2,126.3513942
68.068,7,3,5,2,2,122.8061538
58.193,7,3,6,2,2,131.5160067
38.337,7,3,7,2,2,126.842294
47.556,7,3,8,2,2,127.3110898
51.636,7,3,9,2,2,123.7433422
63.548,7,3,10,2,2,121.7812896
75.642,8,3,1,4,2,131.5062656
71.918,8,3,2,4,2,136.2823924
62.357,8,3,3,4,2,141.9233426
82.194,8,3,4,4,2,128.8914482
62.624,8,3,5,4,2,129.2211531
51.526,8,3,6,4,2,134.6898996
57.412,8,3,7,4,2,134.4982897
28.766,8,3,8,4,2,141.8486638
66.267,8,3,9,4,2,129.9736102
67.489,8,3,10,4,2,134.5657525
